artifact,derived_from,upstream_commit,license,status
axiomos_r04.ffpga,examples/spi_loopback_led/spi_loopback_led.ffpga,763d0a7dd9ebdfc3f61de148457d5c34f112f61e,firmware/shrike/vendor/vicharak-shrike/763d0a7/LICENSE.md,UPSTREAM_BUILD_REPORTED_RUNTIME_QUALIFICATION_PENDING
ffpga/src/spi_target.v,examples/spi_loopback_led/ffpga/src/spi_target.v,763d0a7dd9ebdfc3f61de148457d5c34f112f61e,firmware/shrike/vendor/vicharak-shrike/763d0a7/LICENSE.md,UPSTREAM_BUILD_REPORTED_RUNTIME_QUALIFICATION_PENDING
ffpga/src/top.v,examples/spi_loopback_led/ffpga/src/top.v,763d0a7dd9ebdfc3f61de148457d5c34f112f61e,firmware/shrike/vendor/vicharak-shrike/763d0a7/LICENSE.md,UPSTREAM_BUILD_REPORTED_RUNTIME_QUALIFICATION_PENDING
io-spec-tool GPIO7 through GPIO11 and paired OE,examples/gpio_extender_8pin/gpio_extender_8pin.ffpga,763d0a7dd9ebdfc3f61de148457d5c34f112f61e,firmware/shrike/vendor/vicharak-shrike/763d0a7/LICENSE.md,UPSTREAM_EXPORT_REPORTED_RUNTIME_QUALIFICATION_PENDING
